full_name,age,birthday_GMT,league,season,position,Current Club,minutes_played_overall,nationality,goals_overall,assists_overall,market_value_in_eur
Dejan Lovren,33,1989/07/05,Premier League,2018/2019,Defender,Liverpool,985,Croatia,1,0,20000000.0
Dele Alli,26,1996/04/11,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,England,5,3,90000000.0
Demarai Gray,26,1996/06/28,Premier League,2018/2019,Midfielder,Leicester City,1992,England,4,1,20000000.0
Denis Odoi,34,1988/05/27,Premier League,2018/2019,Defender,Fulham,2593,Belgium,0,1,2500000.0
Denis Suárez,28,1994/01/06,Premier League,2018/2019,Midfielder,Arsenal,67,Spain,0,0,12000000.0
Diego Rico,29,1993/02/23,Premier League,2018/2019,Defender,AFC Bournemouth,607,Spain,0,0,9000000.0
Diogo Dalot,23,1999/03/18,Premier League,2018/2019,Defender,Manchester United,1015,Portugal,0,2,20000000.0
Divock Origi,27,1995/04/18,Premier League,2018/2019,Forward,Liverpool,366,Belgium,3,1,20000000.0
Domingos Quina,22,1999/11/18,Premier League,2018/2019,Midfielder,Watford,335,Portugal,1,0,5000000.0
Dominic Calvert-Lewin,25,1997/03/16,Premier League,2018/2019,Forward,Everton,1774,England,6,2,20000000.0
Dominic Solanke,25,1997/09/14,Premier League,2018/2019,Forward,AFC Bournemouth,341,England,0,1,18000000.0
Dwight McNeil,22,1999/11/22,Premier League,2018/2019,Forward,Burnley,1599,England,3,5,15000000.0
Eden Hazard,31,1991/01/07,Premier League,2018/2019,Midfielder,Chelsea,2926,Belgium,16,15,150000000.0
Ederson,29,1993/08/17,Premier League,2018/2019,Goalkeeper,Manchester City,3420,Brazil,0,1,70000000.0
Elias Kachunga,30,1992/04/22,Premier League,2018/2019,Forward,Huddersfield Town,1181,Congo DR,0,0,3000000.0
Emerson Hyndman,26,1996/04/09,Premier League,2018/2019,Midfielder,AFC Bournemouth,37,USA,0,0,1000000.0
Emile Smith Rowe,22,2000/07/28,Premier League,2018/2019,Midfielder,Arsenal,0,England,0,0,4000000.0
